Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportCalls,LatePayments,DataUsageGB,Churn
16.0,690.0,11040.0,Month-to-month,DSL,Debit Card,2.0,0.0,28.79,0
52.0,515.0,26780.0,Month-to-month,Fiber,Net Banking,4.0,4.0,25.81,1
52.0,826.0,42952.0,Month-to-month,Fiber,Credit Card,6.0,1.0,3.35,1
,,,,,,,,,1
51.0,900.0,45900.0,Month-to-month,Fiber,Debit Card,1.0,3.0,17.15,1
12.0,543.0,6516.0,Month-to-month,DSL,Credit Card,3.0,0.0,19.44,0
54.0,683.0,36882.0,Month-to-month,DSL,Credit Card,5.0,1.0,3.95,1
6.0,749.0,4494.0,Month-to-month,Fiber,Net Banking,0.0,0.0,14.81,0
53.0,564.0,29892.0,One year,DSL,Net Banking,7.0,1.0,4.73,0
48.0,649.0,31152.0,Month-to-month,Fiber,Credit Card,2.0,1.0,4.16,1
2.0,702.0,1404.0,Two year,DSL,Net Banking,5.0,0.0,19.23,1
46.0,666.0,30636.0,Month-to-month,DSL,UPI,2.0,0.0,21.96,0
6.0,763.0,4578.0,Two year,Fiber,UPI,4.0,2.0,9.41,0
44.0,909.0,39996.0,Two year,Fiber,UPI,5.0,0.0,17.36,0
,,,,,,,,,1
35.0,615.0,21525.0,Two year,Fiber,Debit Card,2.0,1.0,6.91,0
39.0,899.0,35061.0,Month-to-month,Fiber,Credit Card,2.0,2.0,19.88,1
46.0,669.0,30774.0,Month-to-month,Fiber,Credit Card,2.0,1.0,21.68,0
59.0,888.0,52392.0,Month-to-month,Fiber,Credit Card,2.0,0.0,6.53,0
6.0,747.0,4482.0,Two year,Fiber,Net Banking,4.0,0.0,9.24,0
31.0,749.0,23219.0,Two year,DSL,Net Banking,2.0,0.0,12.28,0
3.0,690.0,2070.0,Month-to-month,DSL,UPI,1.0,1.0,16.71,1
33.0,938.0,30954.0,Month-to-month,Fiber,Credit Card,5.0,0.0,5.57,1
31.0,525.0,16275.0,Month-to-month,DSL,UPI,0.0,0.0,28.4,0
35.0,625.0,21875.0,Month-to-month,Fiber,UPI,2.0,1.0,3.66,1
